image_name,cucumber,chicken,shrimp,brocolli,bean,salmon,pork,rice,pumpkin,egg_dish,nut,carrot,king_oyster,vegetable,winter_melon,mango,avocado,baby_corn,beef,sprout,eggplant,mushroom,potato,brocoli,corn,toast,onion,cabbage,egg,green_pepper,green_bean,tofu,fish,tomato,lemon,yam,high,calories,protein,fat,carbs,GMM
舒肥原味雞33,0.0,0.3254207769110621,0.0,0.0,0.0,0.0,0.0,0.042738862600730745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11852708499394118,0.0,0.0,0.0,0.028285239058418073,0.2587599463690857,0.0,0.0,0.0,0.0,0.060403890545017255,0.0,0.16586419952174494,0.3254207769110621,579.0,11.980534374006513,2.4968102506922722,5.039259303627459,4.565356168405213
西班牙煙燻去骨雞44,0.03504191705867035,0.6049955529703791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10646662360544194,0.0,0.0,0.0,0.1584173985383983,0.031037899514039426,0.0,0.0,0.0,0.0,0.0,0.0,0.06404060831307089,0.6049955529703791,739.0,19.26587031582365,2.359273899825163,2.793742234607021,4.4092635625239405
鯛魚3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06992698397400944,0.0,0.0,0.0,0.0,0.0,0.16531193491200796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2152108689642579,0.13441137010933382,0.0,0.0,0.0,0.3405681504043906,0.0,0.0,0.07457069163600027,0.3405681504043906,685.0,8.174773330763358,2.420406952119849,3.838214340966327,3.941332257750034
低脂雙拼32,0.07015258372083776,0.2635199159671932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28598854422212744,0.0,0.0,0.0,0.0,0.0,0.0,0.061492871335734924,0.0,0.0,0.0,0.0,0.14557915854747208,0.0,0.17326692620663459,0.2635199159671932,628.0,9.832561067085003,1.3960919259666584,6.696027420365614,4.1150921680031685
西班牙煙燻34,0.08379282124198136,0.3381390119701078,0.0,0.0,0.0,0.0,0.0,0.05124909066860658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2965143674360161,0.0,0.0,0.0,0.0,0.07047318299054295,0.0,0.0,0.0,0.0,0.0731247106672839,0.0,0.08670681502546128,0.3381390119701078,739.0,11.155486264962637,1.6021791920177237,2.980034699259308,3.618411417227205
西班牙煙燻雞腿35,0.0,0.39523019653981906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32360920914742736,0.0,0.0,0.132249696221575,0.13130139320179246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017609504889386077,0.39523019653981906,739.0,12.594716827074532,1.450944766974624,2.466926887444468,3.4666149252736354
西班牙煙燻雞43,0.053404294041668215,0.5925254484960606,0.0,0.0,0.0,0.0,0.0,8.834749543685186e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033630357612992,0.0,0.0,0.0,0.05289364551804321,0.09403177329325892,0.0,0.0,0.0,0.0,0.0,0.0,0.1037729681401262,0.5925254484960606,739.0,19.191613525648158,2.624791614762513,3.3589299351352686,4.670526135293217
嫩雞胸2,0.0,0.3493600754844797,0.0,0.0,0.0,0.0,0.0,0.1239203541964048,0.0,0.0,0.0,0.014891249122976798,0.0,0.0863111799288704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24825926015532385,0.08785232138968863,0.0,0.0,0.0,0.0,0.0,0.0,0.08940555972225582,0.3493600754844797,646.0,11.913834950281856,1.7423337284978107,4.308454745602787,4.090164686704299
芥末椒鹽大鮭魚41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041686149947563846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09143182862863372,0.0,0.0,0.0,0.04152181558508987,0.05522507853515366,0.0,0.0,0.0,0.33061771460916606,0.16048877961491775,0.0,0.2790286330794751,0.33061771460916606,728.0,7.560665974927499,1.9933667665110386,8.449689789120113,4.411851376279845
蔥雞胸30,0.0,0.513671814909393,0.0,0.0,0.0,0.0,0.0,0.014427514383287697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14549714641725378,0.0,0.0,0.0,0.12365493185244439,0.14157923883949175,0.0,0.0,0.0,0.0,0.0,0.0,0.0611693535981294,0.513671814909393,696.0,17.025807137033503,2.5755971564163307,2.4537186951973666,4.258478193129619
雞排23,0.0,0.34494524228346707,0.0,0.0,0.0,0.0,0.0,0.10984479351443635,0.0,0.0,0.0,0.027410930819503073,0.0,0.13773804618941063,0.11068978193131046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0873952399397036,0.0887866953181474,0.0,0.0,0.0,0.0,0.0,0.0,0.0931892700040214,0.34494524228346707,751.0,11.708242152709762,1.7341197687815635,4.217530857496712,4.050603668553723
打拋豬11,0.0,0.0,0.0,0.0,0.0,0.0,0.463381707405749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06824800897063495,0.0,0.0,0.0,0.11647378270703453,0.10499163786801992,0.0,0.0,0.05398454632085328,0.0,0.0,0.0,0.19292031672770832,0.463381707405749,780.0,13.087165275529378,7.259179688247474,6.0553605667114425,5.784427171064432
蔥雞胸27,0.0,0.4841779657666917,0.0,0.0,0.0,0.0,0.0,0.026047225626227088,0.0,0.0,0.0,0.0,0.0,0.10042165737702757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11288295054749575,0.0594016418284118,0.0,0.0,0.13641077334598306,0.0,0.0,0.0,0.08065778550816302,0.4841779657666917,696.0,16.825369147856794,2.6150882186293503,3.442208825815973,4.569673152168556
牛腱7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006428294402714129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457773578568244,0.0,0.0,0.0,0.0,0.16684326705482505,0.0,0.0,0.0,0.047452544435033814,0.1155625014347523,0.0,0.0,0.0,0.0,0.0,0.0,0.1179360348158503,0.5457773578568244,685.0,15.122178672875268,8.781011732951217,3.5288351986120055,5.597718152478022
排骨6,0.18022530907037468,0.0,0.0,0.0,0.0,0.0,0.4950084882392509,0.06310540245880149,0.0,0.0,0.0,0.0,0.0,0.12449002350133048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06596803297067019,0.018970710532653326,0.0,0.0,0.0,0.0,0.0,0.0,0.05223203322691893,0.4950084882392509,670.0,12.894779436276517,7.069066180980412,2.8319498571057418,5.05502850255062
牛腱6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20729357217000108,0.13967899747278859,0.0,0.0,0.0,0.3460079172621654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07889922938944617,0.10742760106067308,0.0,0.0,0.0,0.0,0.0,0.0,0.12069268264492568,0.3460079172621654,685.0,10.215480448007682,5.781913212403563,4.9893070284039,5.175561947469052
打拋豬10,0.0,0.0,0.0,0.0,0.0,0.0,0.4768454469740001,0.0046173200029272065,0.0,0.0,0.0,0.0,0.0,0.1340288933881139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03373373338490793,0.09390990011488125,0.0,0.0,0.21447828930326673,0.0,0.0,0.0,0.042386416831902834,0.4768454469740001,780.0,14.441884261501773,8.024313819783968,2.2274781069336465,5.054994306738119
雞排20,0.0,0.28293214522676524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23646257678340837,0.0,0.0,0.0,0.3624836801814978,0.046610471794359586,0.0,0.0,0.0,0.0,0.0,0.0,0.07151112601396906,0.28293214522676524,751.0,9.629054806052782,1.2950075624076995,4.061172030506468,3.5724827149773244
雞排18,0.1359870060852838,0.45507251335800525,0.0,0.0,0.0,0.0,0.0,0.00957007379114998,0.0,0.0,0.0,0.0,0.0,0.08442943647769958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08977050000695033,0.07748765781265538,0.0,0.0,0.04945856906545824,0.0,0.0,0.0,0.09822424340279745,0.45507251335800525,751.0,15.404701419044128,2.265734602072054,4.065054346257032,4.5102344271690775
雞腿24,0.0,0.2419218980322422,0.0,0.0,0.0,0.0,0.0,0.11694237113643277,0.0,0.0,0.0,0.0,0.0,0.08458316759868036,0.0,0.0,0.0,0.0,0.0,0.0858037545723266,0.0,0.046635781526630636,0.0,0.0,0.0,0.0,0.0,0.2191597058112419,0.09091618116162443,0.0,0.0,0.0,0.0,0.0,0.0,0.1140371401608211,0.2419218980322422,694.0,8.982941029660653,1.3898488499964903,5.5314014522255235,3.8548300768744994
雞腿26,0.0,0.37117704190588774,0.0,0.0,0.0,0.0,0.0,0.17864875862458157,0.0,0.0,0.0,0.0,0.0,0.11679829394415518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18993533977064478,0.08817195997421907,0.0,0.0,0.0,0.0,0.0,0.0,0.05526860578051164,0.37117704190588774,694.0,12.482137203244594,1.8132973746818224,2.997175384560551,3.838584401408894
西班牙去古蹟37,0.0,0.4642002583218774,0.0,0.0,0.0,0.0,0.0,0.00930097268921385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775675497858283,0.0,0.0,0.0,0.16916793345960865,0.0,0.11061439746248966,0.0,0.0,0.0,0.08175922046352502,0.08738966781745716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642002583218774,739.0,15.714498921350339,2.1825090810874452,2.6770924591480916,4.1140904864936
雞腿17,0.0,0.5775818029008571,0.0,0.0,0.043145600806081395,0.0,0.0,0.04081257901316239,0.0,0.0,0.0,0.0,0.0,0.12115233855418567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523503252340673,0.06495735349164608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5775818029008571,694.0,19.520045389162632,2.4659480049250067,2.7961593423279836,4.46223400464555
白身魚16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039857772600918426,0.0,0.0,0.0,0.06206930903615266,0.0,0.14582906274366308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04300731252670116,0.12032621877041501,0.0,0.0,0.0,0.4839678072573523,0.0,0.0,0.10494251706479737,0.4839678072573523,577.0,10.816328180527643,3.063261881179583,4.188438659644699,4.490087482118974
雞排14,0.0,0.42969556862256075,0.0,0.0,0.0,0.0,0.0,0.044213054002116725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24955315318772042,0.0,0.0,0.0,0.14070318820004668,0.06238748892875071,0.0,0.0,0.0,0.0,0.0,0.0,0.07344754705880473,0.42969556862256075,751.0,13.987973026120155,1.8802565652108574,2.8365947555052484,3.9251432109001514
舒肥原味雞胸31,0.12062861583628356,0.2926361973905706,0.0,0.0,0.0,0.0,0.0,0.09779760464605307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34687320731036925,0.0,0.0,0.0,0.031819786762373674,0.03601238286336189,0.0,0.0,0.0,0.0,0.0,0.0,0.07423220519098797,0.2926361973905706,579.0,9.518919047159013,1.257426571860191,2.648313608582169,3.146034265633405
蔥雞胸13,0.0,0.5128539304237284,0.0,0.0,0.0,0.0,0.0,6.14253895170896e-05,0.0,0.0,0.0,0.06938398346321688,0.0,0.04792782783798653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04173988751141711,0.1764778147517079,0.0,0.0,0.15155513062242615,0.0,0.0,0.0,0.0,0.5128539304237284,696.0,18.334415043344965,3.3577273140012496,1.460958022422938,4.095290764108604
打拋豬21,0.0,0.0,0.0,0.0,0.0,0.0,0.5879964826902767,0.0,0.0,0.0,0.0,0.0,0.0,0.05829522139045395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17033084113019165,0.11677189129838046,0.0,0.0,0.0,0.0,0.0,0.0,0.06660556349069728,0.5879964826902767,780.0,15.78017707514295,8.84533337675691,3.031217891754328,5.504770995176098
打拋豬22,0.0,0.0,0.0,0.0,0.0,0.0,0.5663862676993804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13207746571904144,0.10788213081536552,0.0,0.1191096062558981,0.0,0.0,0.0,0.0,0.07454452951031461,0.5663862676993804,780.0,15.328686189588723,8.513302522642268,3.6772481202294407,5.619380643796888
